source_id,ra,dec,pmra,pmdec,parallax_error,phot_g_n_obs,phot_g_mean_mag,phot_bp_mean_mag,phot_rp_mean_mag
2057449214942016896,305.1459293885289,35.953984813339275,NULL,NULL,NULL,50,21.00834,NULL,NULL
2057449524179793408,305.10147944658655,35.989655872244185,NULL,NULL,NULL,61,20.95988,NULL,NULL
2057450761132038912,305.3658698742099,35.9317358797575,NULL,NULL,NULL,51,20.947857,NULL,NULL
2057451551405754240,305.2721819021945,35.95727787176797,NULL,NULL,NULL,0,NULL,NULL,19.528305
2057451585765157248,305.26042867814493,35.95552906695312,NULL,NULL,NULL,69,21.065527,NULL,NULL
2057451654483240192,305.2865721347907,35.97943862698597,NULL,NULL,NULL,53,20.488857,NULL,NULL
2057452410410137088,305.4053724679438,35.9894349317406,NULL,NULL,NULL,36,20.800884,NULL,NULL
2057452577906026368,305.44275806061745,36.00903724738019,NULL,NULL,NULL,0,NULL,NULL,19.415487
2057452650916918656,305.40812838367555,36.01306272771495,NULL,NULL,NULL,35,21.287989,NULL,NULL
2057454643780563712,305.2435493378451,35.987238161750774,NULL,NULL,NULL,95,20.926685,NULL,NULL
2057455330976570752,305.3100572011045,36.07471084639768,NULL,NULL,NULL,0,NULL,NULL,20.382824
2057456499207742720,305.23061932739733,36.09693292951192,NULL,NULL,NULL,0,NULL,NULL,19.884659
2057456705366149376,305.24381466391685,36.139051893854905,NULL,NULL,NULL,36,21.233368,NULL,NULL
2057457255121895680,305.32953443375305,36.12972294211049,NULL,NULL,NULL,45,17.85716,NULL,NULL
2057457426920539904,305.40013480335506,36.1404040109582,NULL,NULL,NULL,157,20.715723,NULL,NULL
2057458388993921536,305.33923811952786,36.15896762002692,NULL,NULL,NULL,0,NULL,NULL,19.739492
2057458423352988544,305.3404872636631,36.162639650100346,NULL,NULL,NULL,57,20.894852,NULL,NULL
2057459351065093248,304.97852562473565,35.919992657046606,NULL,NULL,NULL,78,20.83114,NULL,NULL
2057460210059992960,304.9672010186656,35.95273790944185,NULL,NULL,NULL,0,NULL,NULL,20.062275
2057461481370482560,305.035223671438,35.99661299334765,NULL,NULL,NULL,49,21.276598,NULL,NULL
2057462855759528704,305.0521947946993,36.07336151248995,NULL,NULL,NULL,0,NULL,NULL,20.03347
2057463027557162624,305.0927590502903,36.111709014655915,NULL,NULL,NULL,46,20.537817,NULL,NULL
2057465741986074112,304.9914077142801,36.096757059453594,NULL,NULL,NULL,51,18.26997,NULL,NULL
2057466566611280640,305.0147168353637,36.16461366519457,NULL,NULL,NULL,51,20.991991,NULL,NULL
2057467803570259200,305.1475150446498,36.073905957346305,NULL,NULL,NULL,137,19.738092,NULL,NULL
2057468147159703808,305.14825009882696,36.1105655220696,NULL,NULL,NULL,39,21.12994,NULL,19.979763
2057469384108718336,305.151384060587,36.16280307898582,NULL,NULL,NULL,53,20.800413,NULL,NULL
2057469830787175936,305.16510971142054,36.22352854749691,NULL,NULL,NULL,53,21.047768,NULL,NULL
2057470483629825408,305.28578228938085,36.203489105543255,NULL,NULL,NULL,72,20.552223,NULL,NULL
2057472510845148032,305.0544350728602,36.20275566041814,NULL,NULL,NULL,93,19.881966,NULL,NULL
2057473094961185664,305.1130818207758,36.24772547236115,NULL,NULL,NULL,0,NULL,NULL,20.002962
2057473988315244800,305.0855451211888,36.28501249923482,NULL,NULL,NULL,50,21.140959,NULL,NULL
2057475225264463744,305.16287579905884,36.32712362523245,NULL,NULL,NULL,30,18.816607,NULL,NULL
2057475843741447680,305.1024325189984,36.34334751271404,NULL,NULL,NULL,0,NULL,NULL,19.953884
2057477218132798208,305.5707372991399,36.13897019991767,NULL,NULL,NULL,40,21.231068,NULL,NULL
2057477424290479744,305.5247452695094,36.144687699619304,NULL,NULL,NULL,76,21.094545,NULL,NULL
2057477596088236288,305.5513851996411,36.17143906617325,NULL,NULL,NULL,196,20.58836,NULL,NULL
2057477733527213568,305.47016947541226,36.131851684048655,NULL,NULL,NULL,84,20.89444,NULL,NULL
2057479451515631104,305.67334243226503,36.2334699071098,NULL,NULL,NULL,33,21.143064,NULL,19.797462
2057479623312987264,305.61414456200527,36.2357030443341,NULL,NULL,NULL,61,20.957071,NULL,NULL
2057480276148738048,305.56522045921446,36.25753453502537,NULL,NULL,NULL,0,NULL,NULL,19.054674
2057481375660420864,305.4370981822533,36.21453406729006,NULL,NULL,NULL,39,21.054335,NULL,19.729717
2057481719258382720,305.4850270183076,36.246195085412644,NULL,NULL,NULL,69,21.060907,NULL,NULL
2057482436519033344,305.3777294173239,36.2490529018839,NULL,NULL,NULL,42,21.167,NULL,20.78525
2057482646971206272,305.4139636888057,36.2602135397891,NULL,NULL,NULL,110,20.998178,21.972628,19.714
2057486048584021120,305.75636072849153,36.327302523611245,NULL,NULL,NULL,68,20.696981,NULL,NULL
2057486186023002880,305.71404919025457,36.333808297839376,NULL,NULL,NULL,103,20.602354,NULL,NULL
2057488281967444224,305.82911679867897,36.4282529177312,NULL,NULL,NULL,78,21.020227,NULL,NULL
